Stock,Expiration,Type,Strike,Last Price
AAPL,4/21/2023,Call,125,27.3
AAPL,4/21/2023,Call,130,22.575
AAPL,4/21/2023,Call,135,17.75
AAPL,4/21/2023,Call,140,13.85
AAPL,4/21/2023,Call,145,9.975
AAPL,4/21/2023,Call,150,6.7
AAPL,4/21/2023,Call,155,4.05
AAPL,4/21/2023,Call,160,2.21
AAPL,4/21/2023,Call,165,1.035
AAPL,4/21/2023,Call,170,0.46
AAPL,4/21/2023,Call,175,0.195
AAPL,4/21/2023,Put,125,0.405
AAPL,4/21/2023,Put,130,0.665
AAPL,4/21/2023,Put,135,1.12
AAPL,4/21/2023,Put,140,1.84
AAPL,4/21/2023,Put,145,3.01
AAPL,4/21/2023,Put,150,4.75
AAPL,4/21/2023,Put,155,7.15
AAPL,4/21/2023,Put,160,10.575
AAPL,4/21/2023,Put,165,14.925
AAPL,4/21/2023,Put,170,19.425
AAPL,4/21/2023,Put,175,24.625
